id,name,nationality,art_movement,birth_date,death_date,age,century,zodiac,birth_country,birth_city,birth_continent,death_country,death_city,field,genre,marriage,art_institution,teaching,awards,artwork_url,style,image_genre,object,color,tone,composition,intro_url
0012,Christiaan Karel Appel,Dutch,CoBrA,1921/4/25,2006/5/3,85,20th-21st,Taurus,Netherlands,Amesterdam,Europe,Switzerland,Zurich,Painting||Sculpture||Poetry,,,Rijksakademie van beeldende kunsten,0,0,https://uploads1.wikiart.org/images/karel-appel/hip-hip-hoorah-1949.jpg!PinterestSmall.jpg,Art Informel,Figurative,Human-Like Figures,Red,Dark,Asymmetrical,https://www.wikiart.org/en/karel-appel/hip-hip-hoorah-1949
0013,Eduard Isabekyan,American,,1914/11/14,2007/8/17,92,20th-21st,Scorpio,Turkey,,Europe,Armenia,,Painting,Compositional painting||Portrait||Landscape||Graphics||Thematic compositions||Book design,,Yerevan State Academy of Fine Arts,0,0,https://uploads7.wikiart.org/images/eduard-isabekyan/young-david.jpg!PinterestSmall.jpg,Symbolism,Landscape,"Man, Dog, Mountains",Predominantly Earthy Tones,Neutral,Balanced With A Central Figure,https://www.wikiart.org/en/eduard-isabekyan/young-david
0014,John Hoyland,British,Post-Painterly Abstraction||Color Field painting||Lyrical Abstraction,1934/10/12,2011/7/31,76,20th-21st,Libra,United Kingdom,Sheffield,Europe,United Kingdom,London,Painting,Abstract,,Sheffield School of Art||Royal Academy Schools,1,2,https://uploads4.wikiart.org/images/john-hoyland/28-5-66-1966.jpg!PinterestSmall.jpg,Color Field Painting,Abstract,Rectangular Shapes,Red,Bold,Minimalist,https://www.wikiart.org/en/john-hoyland/28-5-66-1966
0015,Raoul De Keyser,Belgian,New Vision,1930/8/29,2012/10/5,82,20th-21st,Virgo,Belgium,Deinze,Europe,Belgium,Deinze,Painting,Abstract,Widowed,Academy of Fine Arts,0,0,https://uploads8.wikiart.org/images/raoul-de-keyser/untitled-1998.jpg!PinterestSmall.jpg,Neo-Pop Art,Still Life,Stairs,"Earth Tones, Muted Colors",Neutral,Central Focus,https://www.wikiart.org/en/raoul-de-keyser/untitled-1998
0016,Esteban Vicente Pérez,Spain,Abstract Expressionism,1903/1/20,2001/1/10,97,20th-21st,Aquarius,Spain,Turégano,Europe,United States,New York,Painting,,Married,Real Academia de Bellas Artes de San Fernando,1,0,https://uploads0.wikiart.org/images/esteban-vicente/red-field-1972.jpg!PinterestSmall.jpg,Color Field Painting,Abstract,,Red,Bright,Color Field,https://www.wikiart.org/en/esteban-vicente/red-field-1972
0017,Manuel Felguérez Barra,Mexico,Abstract||Generación de la Ruptura,1928/12/12,2020/6/8,91,20th-21st,Sagittarius,Mexico,Valparaíso,North America,Mexico,Zacatecas,Sculpture||Abstract Art,,,Academia de San Carlos||Académie de la Grande Chaumière||Académie Colarossi,0,0,https://uploads5.wikiart.org/00306/images/manuel-felguerez/1987.jpg!PinterestSmall.jpg,Abstract Art,,Abstract Forms,"Earth Tones, Predominantly Brown And Orange",Dark,"Organic, Fluid Shapes",https://www.wikiart.org/en/manuel-felguerez/untitled-1987
0018,Neil Gavin Welliver,American,Modern Art,1929/7/22,2005/4/5,75,20th-21st,Cancer,United States,Millville,North America,United States,Belfast,Painting,Landscape,,Philadelphia College of Art||Yale University,1,0,https://uploads7.wikiart.org/images/neil-welliver/lower-ducktrap.jpg!PinterestSmall.jpg,Contemporary Realism,Landscape,"Rocks, River, Trees",Green,Bright,Naturalistic,https://www.wikiart.org/en/neil-welliver/lower-ducktrap
0019,Eyvind Earle,American,,1916/4/26,2000/7/20,84,20th-21st,Taurus,United States,New York,North America,,,Painting||Illustration,,,Art Center College of Design,0,0,https://uploads2.wikiart.org/images/eyvind-earle/green-hillside-1970.jpg!PinterestSmall.jpg,Magic Realism,Landscape,"Tree, Hills",Green,Dark,Vertical Emphasis,https://www.wikiart.org/en/eyvind-earle/green-hillside-1970
0020,Howard Finster,American,Outsider art||Na?ve art||Visionary art,1916/12/2,2001/10/20,84,20th-21st,Sagittarius,United States,Valley Head,North America,,,Art||Ministry,Portraiture||Visionary art,Married,,0,0,https://uploads4.wikiart.org/images/howard-finster/holy-child-of-bethlehem-kid-s-dream-world-1990.jpg!PinterestSmall.jpg,Art Brut,Landscape,"Buildings, Text",Blue,Neutral,Narrative With Dense Text,https://www.wikiart.org/en/howard-finster/holy-child-of-bethlehem-kid-s-dream-world-1990
0021,Patrick Procktor,British||Irish,Pop Art,1936/3/12,2003/8/29,67,20th-21st,Pisces,Ireland,Dublin,Europe,,,Painting||Print-making,Figurative||Pop Art,,,0,0,https://uploads5.wikiart.org/images/patrick-procktor/dominic-prima-1981.jpg!PinterestSmall.jpg,Pop Art,Portrait,Seated Person,Muted Tones,Neutral,Centralized,https://www.wikiart.org/en/patrick-procktor/dominic-prima-1981
0022,Mary Fedden,British,,1915/8/14,2012/6/22,96,20th-21st,Leo,United Kingdom,Bristol,Europe,United Kingdom,London,Painting,Flower paintings||Still lifes,Married,Slade School of Fine Art,1,2,https://uploads6.wikiart.org/images/mary-fedden/still-life-1981.jpg!PinterestSmall.jpg,Naïve Art (Primitivism),Still Life,"Fruits, Bowl",Red,Bright,Centralized,https://www.wikiart.org/en/mary-fedden/still-life-1981
0023,Ronald Brooks Kitaj,American,,1932/10/29,2007/10/21,74,20th-21st,Scorpio,United States,Chagrin Falls||Ohio,North America,United States,Los Angeles,Painting,Figurative,,,1,2,https://uploads3.wikiart.org/images/r-b-kitaj/cecil-ct-london-wc2-the-refugees.jpg!PinterestSmall.jpg,Pop Art,Genre Painting,"People, Interior",Various Bright Colors,Vibrant,"Dynamic, Crowded",https://www.wikiart.org/en/r-b-kitaj/cecil-ct-london-wc2-the-refugees
0024,Louise Joséphine Bourgeois,French||American,Abstract Expressionism||Surrealism||Feminist art,1911/12/25,2010/5/31,98,20th-21st,,France,Paris,Europe,United States,New York City,Sculpture||Installation art||Painting||Printmaking,,Married,,0,1,https://uploads0.wikiart.org/00328/images/louise-bourgeois/femme-maison-1946-1947-1.jpg!PinterestSmall.jpg,Surrealism,Figurative,Human Figure With A Building As A Head,"Earth Tones (Brown, Beige, And Muted Red)",Neutral,Vertical Composition With Central Focus,https://www.wikiart.org/en/louise-bourgeois/woman-house-1947
0025,Avigdor Arikha,French||Jewish||Romanian||Israeli,,1928/4/29,2010/4/30,82,20th-21st,Taurus,Romania,Raduq||Romania,Europe,France,Paris,Painting||Drawing||Printmaking||Art History,Portrait||Nude||Still Life||Landscape,Married,Bezalel Academy of Arts and Design|| école Nationale Supérieure des Beaux-Arts,1,0,https://uploads1.wikiart.org/images/avigdor-arikha/two-oranges-1975.jpg!PinterestSmall.jpg,Contemporary Realism,Still Life,Oranges,Orange,Neutral,Minimalist,https://www.wikiart.org/en/avigdor-arikha/two-oranges-1975
0026,Henry Pierre Villierme,American,Abstract Expressionism||Bay Area Figurative Movement,1928/8/21,2013/3/13,84,20th-21st,Leo,United States,San Francisco||California,North America,United States,San Francisco,Painting||Sculpture,Landscape||Portrait||Still Life,,,0,0,https://uploads0.wikiart.org/images/henry-villierme/landscape-1956.jpg!PinterestSmall.jpg,Neo-Expressionism,Landscape,"Trees, Fields",Green,Bright,"Asymmetrical, Horizontal Emphasis",https://www.wikiart.org/en/henry-villierme/landscape-1956
0027,Jean René Bazaine,French,Modern School of Paris,1904/12/21,2001/3/4,96,20th-21st,Sagittarius,France,Paris||France,Europe,France,Clamart,Painting||Design||Writing,Abstract Impressionism,,,0,0,https://uploads1.wikiart.org/images/jean-rene-bazaine/hollande-1956.jpg!PinterestSmall.jpg,Art Informel,,,Purple,Neutral,Dynamic,https://www.wikiart.org/en/jean-rene-bazaine/hollande-1956
0028,Edward Clark,American,Abstract Expressionism,1926/5/26,2019/10/18,93,20th-21st,Gemini,United States,New Orleans||Louisiana,North America,United States,Detroit,Painting,,,,0,1,https://uploads2.wikiart.org/00331/images/ed-clark/pink-wave-2006-84x72in-1.jpg!PinterestSmall.jpg,Abstract Expressionism,Abstract,Brushstrokes,Red,Neutral,Horizontal Brushstrokes,https://www.wikiart.org/en/ed-clark/pink-wave-2006
0029,Patrick Joseph Caulfield,British,Pop Art,1936/1/29,2005/9/29,69,20th-21st,Aquarius,United Kingdom,London,Europe,United Kingdom,London,Painting||Printmaking,Figurative,,,1,0,https://uploads7.wikiart.org/images/patrick-caulfield/greece-expiring-on-the-ruins-of-missolonghi-after-delacroix-1963.jpg!PinterestSmall.jpg,Pop Art,Portrait,Figures In Traditional Attire,Black,Dark,Central Figure With Background Elements,https://www.wikiart.org/en/patrick-caulfield/greece-expiring-on-the-ruins-of-missolonghi-after-delacroix-1963
0030,Maqbool Fida Husain,Indian||Qatari,Indian Modernism||Cubism,1915/9/17,2011/6/9,95,20th-21st,Virgo,India,Pandharpur||Maharashtra,Asia,United Kingdom,London,Painting||Drawing||Printmaking||Photography||Filmmaking,Narrative,,Art school in Bombay,0,0,https://uploads2.wikiart.org/images/m-f-husain/untitled-woman-at-work-1958(1).jpg!PinterestSmall.jpg,Cubism,Portrait,"Person, Bird",Blue,Dark,Asymmetrical,https://www.wikiart.org/en/m-f-husain/untitled-woman-at-work-1958
0031,Lonny Wood,American,Aerosol Art||Hip Hop,1955/8/2,2019/12/12,64,20th-21st,Leo,United States,New York City,North America,United States,New York City,Aerosol Art,Graffiti,,,0,0,https://uploads6.wikiart.org/images/phase-2/piece-1973.jpg!PinterestSmall.jpg,Street art,,Text,Pink,Bright,Centralized Lettering,https://www.wikiart.org/en/phase-2/piece-1973
0032,Leonora Carrington,British||Mexican,Surrealism,1917/4/6,2011/5/25,94,20th-21st,Aries,United Kingdom,Clayton-le-Woods,Europe,Mexico,Mexico City,Painting||Novel,Surrealist,Married,Mrs Penrose's Academy of Art||Chelsea School of Art||Ozenfant Academy,0,0,https://uploads1.wikiart.org/images/leonora-carrington/peacocks-of-chen-1971.jpg!PinterestSmall.jpg,Surrealism,Abstract,Mythical Creatures,Earth Tones,Warm,Circular,https://www.wikiart.org/en/leonora-carrington/peacocks-of-chen-1971
0033,Nassos Daphnis,American||Greek,Abstract,1914/7/23,2010/11/23,96,20th-21st,Leo,United States,Krokeai,Europe,United States,Provincetown,Painting||Sculpture,Abstract||Biomorphic,,Art Students League of New York||Istituto Statale D'Arte,0,0,https://uploads4.wikiart.org/images/nassos-daphnis/11-68-1968.jpg!PinterestSmall.jpg,Hard Edge Painting,Abstract,Concentric Ovals,Red,Bright,Symmetrical,https://www.wikiart.org/en/nassos-daphnis/11-68-1968
0034,Frank Jeffrey Edson Smart,Australian,Precisionism,1905/4/4,2013/6/20,108,20th-21st,Aries,Australia,Adelaide,Oceania,Italy,Arezzo,Painting,Urban landscape,,Adelaide Teachers College||South Australian School of Arts and Crafts||Académie Montmartre,1,1,https://uploads2.wikiart.org/images/jeffrey-smart/civitella.jpg!PinterestSmall.jpg,Hyper-Realism,Landscape,"Truck, Road",Blue,Neutral,Curved Perspective,https://www.wikiart.org/en/jeffrey-smart/civitella
0035,Afewerk Tekle,Ethiopians,,1932/10/22,2012/4/10,79,20th-21st,Libra,Ethiopia,Ankober,Africa,Ethiopia,Addis Ababa,Painting||Sculpture||Architecture||Stained Glass,African Themes||Christian Themes,,Central School of Arts and Crafts||Slade School of Art,0,0,https://uploads6.wikiart.org/images/afewerk-tekle/the-maskal-flower-1959.jpg!PinterestSmall.jpg,Expressionism,Portrait,Person In Elaborate Attire,Red,Neutral,Centralized Figure,https://www.wikiart.org/en/afewerk-tekle/the-maskal-flower-1959
0036,Richard Ernst Artschwager,American,Pop Art||Conceptual art||Minimalism,1923/12/26,2013/2/9,89,20th-21st,,United States,"Washington, D.C.",North America,,,Painting||Illustration||Sculpture,,Married,Cornell University||Amédée Ozenfant's Studio,0,0,https://uploads5.wikiart.org/images/richard-artschwager/exclamation-point-chartreuse-2008.jpg!PinterestSmall.jpg,Conceptual Art,Still Life,Exclamation Mark Shape,Yellow,Bright,Minimalist,https://www.wikiart.org/en/richard-artschwager/exclamation-point-chartreuse-2008
0037,Dorothea Margaret Tanning,American,Surrealism,1910/8/25,2012/1/31,101,20th-21st,Virgo,United States,Galesburg,North America,United States,Manhattan,Painting||Printmaking||Sculpture||Writing||Poetry,Surrealism,Remarried,Knox College||Chicago Academy of Fine Art,0,0,https://uploads5.wikiart.org/images/dorothea-tanning/eine-kleine-nachtmusik-1943.jpg!PinterestSmall.jpg,Surrealism,Interior Scene,"Figures, Sunflower, Doors",Muted Tones,Dark,Linear Perspective,https://www.wikiart.org/en/dorothea-tanning/eine-kleine-nachtmusik-1943
0038,Maurice Bernard Sendak,American,,1928/6/10,2012/5/8,83,20th-21st,Gemini,United States,Brooklyn,North America,United States,Danbury,Illustration||Writing,Children's books,,Art Students League of New York,0,0,https://uploads3.wikiart.org/images/maurice-sendak/where-the-wild-things-are-1.jpg!PinterestSmall.jpg,Naïve Art (Primitivism),Fantasy,Monsters,Yellow,Neutral,Balanced,https://www.wikiart.org/en/maurice-sendak/where-the-wild-things-are-1
0039,Vilen Isaakovych Barskyi,Ukrainian||German||Jewish,Postmodernism||Conceptualism,1930/10/27,2012/12/24,82,20th-21st,Scorpio,Ukraine,Kyiv,Europe,Germany,Dortmund,Painting||Graphic Art,Experimental||Abstract,Married,Kyiv Art School||Kyiv Art Institute,1,0,https://uploads1.wikiart.org/00400/images/vilen-barsky/untitled-1980.png!PinterestSmall.png,,Still Life,"Flowers, Faces",Purple,Dark,Centralized,https://www.wikiart.org/en/vilen-barsky/untitled-1980
0040,Richard Smith,British,Colour Field Painting||Pop Art,1931/10/27,2016/4/15,84,20th-21st,Scorpio,United Kingdom,Letchworth,Europe,United States,New York,Painting||Printmaking,Abstract,,St Albans School of Art||Royal College of Art,1,0,https://uploads8.wikiart.org/images/richard-smith/proscenium-1969.jpg!PinterestSmall.jpg,Hard Edge Painting,Geometric,Geometric Forms,"Green, Red, Black",Neutral,"Symmetrical, Structured",https://www.wikiart.org/en/richard-smith/proscenium-1969
0041,Jean-Paul Riopelle,Canadian,Automatism||Surrealism||Lyrical Abstraction,1923/10/7,2002/3/12,78,20th-21st,Libra,Canada,Montreal,North America,Canada,,Painting||Sculpture,Abstract,,,0,1,https://uploads6.wikiart.org/images/jean-paul-riopelle/perspectives-1956.jpg!PinterestSmall.jpg,Abstract Expressionism,,,"Red, Blue, White",Bright,"Non-Representational, Fragmented",https://www.wikiart.org/en/jean-paul-riopelle/perspectives-1956
0042,Albert Ràfols-Casamada,Spanish,Vanguard,1923/2/2,2009/12/17,86,20th-21st,Aquarius,Spain,Barcelona,Europe,Spain,Barcelona,Painting||Poetry,Abstract,Married,,1,0,https://uploads0.wikiart.org/images/albert-rafols-casamada/vent-de-mar-1982.jpg!PinterestSmall.jpg,Art Informel,,"Lines, Shapes",Blue,Bright,"Dynamic, Diagonal Lines",https://www.wikiart.org/en/albert-rafols-casamada/vent-de-mar-1982
0043,David Alexander Colville,Canadian,,1920/8/24,2013/7/16,92,20th-21st,Virgo,Canada,Toronto,North America,Canada,Wolfville,Painting||Print-making,,Married,,1,0,https://uploads6.wikiart.org/images/alex-colville/athletes-1960.jpg!PinterestSmall.jpg,Contemporary Realism,,,,,,https://www.wikiart.org/en/alex-colville/athletes-1960
0044,Paolo Salvati,Italian,Expressionism,1939/2/22,2014/6/24,75,20th-21st,Pisces,Italy,Rome,Europe,Italy,Rome,Painting,Landscape||Seascape||Portrait,,,0,3,https://uploads8.wikiart.org/00247/images/paolo-salvati/settembre-olio-su-tela-1980-40x70.JPG!PinterestSmall.JPG,Figurative Expressionism,Landscape,"Trees, River",Red,Bright,Asymmetrical,https://www.wikiart.org/en/paolo-salvati/settembre-1980
0045,Sir Terry Frost,British,Abstract Art,1915/10/13,2003/9/1,87,20th-21st,Libra,United Kingdom,Leamington Spa,Europe,,,Painting,Abstract,Married,Royal Academy of Arts (RA)||London||UK,1,2,https://uploads8.wikiart.org/images/terry-frost/green-black-and-white-movement-1951.jpg!PinterestSmall.jpg,Abstract Expressionism,Still Life,Boats,Green,Neutral,Geometric Arrangement,https://www.wikiart.org/en/terry-frost/green-black-and-white-movement-1951
0046,Solomon Sol LeWitt,American,Conceptual art||Minimalism,1928/9/9,2007/4/8,78,20th-21st,Virgo,United States,Hartford,North America,United States,New York,Drawing||Printmaking||Photography||Painting||Installation||Artist's books,,Married,School of Visual Arts (SVA)||New York City||NY||US,1,0,https://uploads3.wikiart.org/images/sol-lewitt/lines-in-four-directions-in-flowers-1981.jpg!PinterestSmall.jpg,Conceptual Art,Landscape,"Building, Garden",Blue And Green,Bright,Symmetrical,https://www.wikiart.org/en/sol-lewitt/lines-in-four-directions-in-flowers-1981
0047,Morris Graves,American,Northwest School||Modernism,1910/8/28,2001/5/5,90,20th-21st,Virgo,United States,Fox Valley,North America,United States,Loleta,Painting,Mysticism,Unmarried,,0,0,https://uploads2.wikiart.org/images/morris-graves/surf-and-bird-1940.jpg!PinterestSmall.jpg,Abstract Expressionism,Still Life,Organic Forms,Earth Tones,Dark,Asymmetrical,https://www.wikiart.org/en/morris-graves/surf-and-bird-1940
0048,George ?tef?nescu-Ramnic,Romanian,,1914/4/20,2007/10/29,93,20th-21st,Taurus,Romania,Pl?ine?ti (Dumbr?veni),Europe,Germany,,Painting,,Married,,0,0,https://uploads4.wikiart.org/images/george-stefanescu-ramnic/self-portrait-2(2).jpg!PinterestSmall.jpg,Expressionism,Portrait,Figure With A Hand Raised,Earthy Tones With Bright Blue And Red,Mixed (Bright And Dark Elements),"Centralized, Symmetrical",https://www.wikiart.org/en/george-stefanescu/self-portrait-2
0049,Manuel álvarez Bravo,Mexican,Mexican muralism,1902/2/4,2002/10/19,100,20th-21st,Aquarius,Mexico,Mexico City,North America,Mexico,Mexico City,Photography,Surrealism||Ironic,Remarried,,0,2,https://uploads7.wikiart.org/images/manuel-alvarez-bravo/xipe-regine-1979.jpg!PinterestSmall.jpg,,Nude,Human Figure,Monochrome,Neutral,Vertical Emphasis,https://www.wikiart.org/en/manuel-alvarez-bravo/xipe-regine-1979
0050,Jeremy Henderson,British,,1952/12/25,2009/4/28,56,20th-21st,,United Kingdom,Lisbellaw,Europe,United Kingdom,Lisbellaw,Painting,,Married,,1,0,https://uploads0.wikiart.org/00146/images/jeremy-henderson/jeremy-henderson-140-012-if-hobbema-had-seen-ireland-1989-oil-on-canvas-122x122cm-sold-6k-1994.jpg!PinterestSmall.jpg,Lyrical Abstraction,Landscape,"Trees, Sky",Blue,Dark,Balanced,https://www.wikiart.org/en/jeremy-henderson/if-hobbema-had-seen-ireland-1989
0051,Hans Ruedi Giger,Swiss,,1940/2/5,2014/5/12,74,20th-21st,Aquarius,Switzerland,Chur,Europe,Switzerland,,Painting||Design,Surreal||Biomechanical,Remarried,,0,2,https://uploads5.wikiart.org/images/h-r-giger/work-nr-217-elp-ii-brain-salad-surgery-1973.jpg!PinterestSmall.jpg,Fantastic Realism,Sci-Fi,Mechanical Structure,Gray,Dark,Symmetrical,https://www.wikiart.org/en/h-r-giger/work-nr-217-elp-ii-brain-salad-surgery-1973
0052,Tetsuya Ishida,Japanese,Surrealism,1973/6/16,2005/5/23,31,20th-21st,Gemini,Japan,Yaizu,Asia,Denmark,,Painting,Surrealism,,Musashino Art University,0,0,https://uploads7.wikiart.org/images/tetsuya-ishida/prisoner-1999.jpg!PinterestSmall.jpg,Surrealism,Landscape,"Building, Human Figure",Blue,Neutral,Balanced,https://www.wikiart.org/en/tetsuya-ishida/prisoner-1999
0053,Anton Heyboer,Dutch,,1924/2/9,2005/4/9,81,20th-21st,Aquarius,Netherlands,,Europe,Netherlands,,Painting||Printmaking,,,,0,0,https://uploads3.wikiart.org/00266/images/anton-heyboer/black-family-1989.jpg!PinterestSmall.jpg,Abstract Expressionism,Figurative,Human Figures,Black,Dark,Asymmetrical,https://www.wikiart.org/en/anton-heyboer/black-family-1989
0054,Fred Sandback,American,Minimalism,1943/8/29,2003/6/23,59,20th-21st,Virgo,United States,Bronxville||New York,North America,United States,New York City,Sculpture||Drawing||Printmaking,,,Yale School of Art （MFA）,0,0,https://uploads0.wikiart.org/images/fred-sandback/untitled-sculptural-study-two-part-vertical-construction-1986.jpg!PinterestSmall.jpg,Minimalism,Installation,Thin Vertical Lines,Neutral,Light,Open Space,https://www.wikiart.org/en/fred-sandback/untitled-sculptural-study-two-part-vertical-construction-1986
0055,Kenneth Price,American,,1935/2/16,2012/2/24,77,20th-21st,Aquarius,United States,Los Angeles,North America,United States,Arroyo Hondo,Sculpture||Ceramics,Abstract,,Santa Monica City College||Chouinard Art Institute ||Otis Art Institute (now Otis College of Art and Design)||University of Southern California|| Chouinard Art Institute||New York State College of Ceramics at Alfred University,0,1,https://uploads4.wikiart.org/images/kenneth-price/arctic-1998.jpg!PinterestSmall.jpg,Post-Minimalism,Sculpture,Nose,Beige,Neutral,Centralized,https://www.wikiart.org/en/kenneth-price/arctic-1998
0056,Nancy Holt,American,Land Art||Earthworks,1938/4/5,2014/2/8,75,20th-21st,Aries,United States,Worcester,North America,,,Public Sculpture||Installation Art||Land Art||Film||Photography||Writing||Books||Articles,Environmental Works||Site-specific,Widowed,,0,6,https://uploads4.wikiart.org/images/nancy-holt/sky-mound-2008.jpg!PinterestSmall.jpg,Environmental (Land) Art,Landscape,"Landfill, Bridge, Cityscape",Earth Tones,Neutral,Aerial View,https://www.wikiart.org/en/nancy-holt/sky-mound-2008
0057,Ken Danby,Canadian,Realism,1940/3/6,2007/9/23,67,20th-21st,Pisces,Canada,Sault Ste. Marie,North America,Canada,,Painting,Realism,Married,Ontario College of Art|| Laurentian University,0,8,https://uploads3.wikiart.org/images/ken-danby/delicious-1971.jpg!PinterestSmall.jpg,Photorealism,Genre Scene,"Popcorn Machine, Person",Brown,Warm,Balanced,https://www.wikiart.org/en/ken-danby/delicious-1971
0058,Conrad Marca-Relli,American,Abstract Expressionism,1913/6/5,2000/8/29,87,20th-21st,Gemini,United States,Boston,North America,Italy,Parma,Painting||Collage,Cityscape||Still Life||Circus Theme||Architectural Motif,Married,Cooper Union,1,1,https://uploads2.wikiart.org/images/conrad-marca-relli/untitled-1945.jpg!PinterestSmall.jpg,Surrealism,Architectural,"Buildings, Figure",Yellow,Neutral,Geometric,https://www.wikiart.org/en/conrad-marca-relli/untitled-1945
