id,team,name,mvp_awards,birth_date
48,Milwaukee Hawks,Jim Brasco,0,1931/2/3
49,Golden State Warriors,Darnell Hillman,0,1949/8/29
50,New York Knicks,Larry Robinson,0,1951/6/2
51,AS Monaco,Nicholas William Calathes,0,1989/2/7
52,Seattle SuperSonics,Rod Derline,0,1952/3/11
53,New York Knicks,Kurt Thomas,0,1972/10/4
54,Phoenix Suns,Kevin Wayne Durant,1,1988/9/29
55,Los Angeles Clippers,Aaron Williams,0,1971/10/2
56,Toronto Raptors,Nathaniel Thomas Huffman,1,1975/4/2
57,New Orleans Jazz,Fred Boyd,0,1950/6/13
58,Grand Rapids Hoops,William Bedford,0,1963/12/14
59,Charlotte Bobcats,Steve Smith,0,1969/3/31
60,,Shawn Christopher Respert,0,1972/2/6
61,Houston Rockets,Rodney Strickland,0,1966/7/11
62,Milwaukee Hawks,Elmer H. Behnke,0,1929/2/3
63,Memphis Grizzlies,Lamar Brandon Stevens,0,1997/7/9
64,Debreceni EAC,Ronald Moore,0,1988/7/14
65,Petrol Olimpija,Erazem Lorbek,0,1984/2/21
66,Chicago Stags,"Marvin ""Mickey"" Rottner",0,1919/3/23
67,Capital City Go-Go,Hamidou Diallo,0,1998/7/31
68,Piratas de Quebradillas,"Dewayne ""D. J."" White, Jr.",0,1986/8/31
69,Golden State Warriors,Steve Kerr,0,1965/9/27
70,Indiana Pacers,Gregory Clinton Foster,0,1968/10/3
71,Los Angeles Lakers,Bill Hewitt,0,1944/8/8
72,Maccabi Tel Aviv,Joseph Xavier Forte,0,1981/3/23
73,Košarkaški klub Split,Dino Rađa,0,1967/4/24
74,Seattle SuperSonics,Mark Jeffrey Radford,0,1959/7/5
75,Olympiacos,Kostas Papanikolaou,0,1990/7/31
76,Washington Bullets,Garry Witts Garrett David Witts,0,1959/7/3
77,Portland Trail Blazers,Jabari Dominic Walker,0,2002/7/30
78,Virtus Bologna,Devontae Cacok,0,1996/10/8
79,Gigantes de Carolina,Brandon Goodwin,0,1995/10/2
80,Fort Wayne Pistons,Dick Rosenthal,0,1933/1/20
81,Brooklyn Nets,Jamal Crawford,0,1980/3/20
82,Sichuan Blue Whales,Jordan Lee Crawford,0,1988/10/23
83,Libertas Livorno,Tom Copa,0,1964/10/30
84,Golden State Warriors,Kermit Washington,0,1951/9/17
85,Greensboro Swarm,Donyell Marshall,0,1973/5/18
86,Philadelphia Eagles,Wayne Lavern Robinson,0,1930/1/14
87,New York Knicks,Greg Fillmore Gregory Paul Fillmore,0,1947/3/7
88,Houston Rockets,John Harding Lucas II,0,1953/10/31
89,Milwaukee Hawks,Dick Surhoff,0,1929/11/16
90,Boston Celtics,Garfield Smith,0,1945/11/18
91,Syracuse Nationals,Leroy Patrick Chollet,0,1925/3/5
92,Mexico City Capitanes,Michael Carter-Williams,0,1991/10/10
93,Brooklyn Nets,Dennis Schr?der,0,1993/9/15
94,Cincinnati Royals,Jack Parr,0,1936/3/13
95,Dallas Mavericks,"Monti Davis DaMon William ""Monti"" Davis",0,1958/7/26
96,Utah Jazz,Eric Johnson Jones,0,1966/2/7
97,Baltimore Bullets,Sidney Harold Tanenbaum,0,1925/10/8
98,Golden State Warriors,Trayce Jackson-Davis,0,2000/2/22
99,Philadelphia 76ers,Andre Jamal Drummond,0,1993/8/10
100,Golden State Warriors,"Chavano Rainer ""Buddy"" Hield",0,1992/12/17
101,Los Angeles Lakers,D'Angelo Russell,0,1996/2/23
102,Philadelphia 76ers,Joel Hans Embiid,1,1994/3/16
103,Philadelphia 76ers,Paul Clifton Anthony George,0,1990/5/2
104,Dallas Mavericks,Kyrie Andrew Irving,0,1992/3/23
105,Boston Celtics,Jayson Christopher Tatum,1,1998/3/3
106,Philadelphia 76ers,Caleb Martin,0,1995/9/28
107,Golden State Warriors,Andrew Christian Wiggins,0,1995/2/23
108,Philadelphia 76ers,Max Berning Fiedler,0,2001/2/26
109,New York Knicks,"Ogugua ""OG"" Anunoby Jr.",0,1997/7/17
110,Boston Celtics,Jaylen Marselles Brown,1,1996/10/24
111,San Antonio Spurs,Victor Wembanyama,0,2004/1/4
112,Boston Celtics,Jrue Randall Holiday,1,1990/6/12
113,Los Angeles Lakers,Austin Tyler Reaves,0,1998/5/29
114,Miami Heat,Kevin Wesley Love,0,1988/9/7
115,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo,2,1994/12/6
116,Golden State Warriors,Wardell Stephen Curry II,2,1988/3/14
117,Boston Celtics,Alfred Joel Horford Reynoso,0,1986/6/3
118,Miami Heat,Tyler Christopher Herro,0,2000/1/20
119,Miami Heat,Duncan McBryde Robinson,0,1994/4/22
120,Golden State Warriors,Kyle Forman Anderson,0,1993/9/20
121,Detroit Pistons,Cade Parker Cunningham,0,2001/9/25
122,Los Angeles Lakers,LeBron Raymone James Sr.,4,1984/12/30
123,Miami Heat,Jimmy Butler III,0,1989/9/14
124,Golden State Warriors,Kevon Grant Looney,0,1996/2/6
125,Chicago Bulls,Zachary Thomas LaVine,0,1995/3/10
126,Detroit Pistons,Jaden Edward Dhananjay Ivey,0,2002/2/13
127,Philadelphia 76ers,Kyle Terrell Lowry,0,1986/3/25
128,Washington Wizards,Michael Jeffrey Jordan,5,1963/2/17
129,Phoenix Suns,Devin Armani Booker,0,1996/10/30
130,Golden State Warriors,Draymond Jamal Green,0,1990/3/4
131,San Antonio Spurs,Zach Collins,0,1997/11/19
132,Golden State Warriors,Jonathan Malangu Kuminga,0,2002/10/6
133,Chicago Bulls,Lonzo Anderson Ball,0,1997/10/27
134,Miami Heat,Jaime Jaquez Jr.,0,2001/2/18
135,Detroit Pistons,Ausar XLNC Thompson,0,2003/1/30
136,New York Knicks,Jalen Marquis Brunson,0,1996/8/31
137,Boston Celtics,Shaquille Rashaun O'Neal,1,1972/3/6
138,Los Angeles Lakers,Kobe Bean Bryant,1,1978/8/23
139,San Antonio Spurs,Christopher Emmanuel Paul,1,1985/5/6
140,San Antonio Spurs,Harrison Bryce Jordan Barnes,0,1992/5/30
141,Miami Heat,"Edrice Femi ""Bam"" Adebayo",0,1997/7/18
