company_name,registered_office,exchange_code,principal_activities,board_members,executive_profiles,revenue,net_profit_or_loss,total_Debt,total_assets,cash_reserves,net_assets,earnings_per_share,dividend_per_share,largest_shareholder,the_highest_ownership_stake,major_equity_changes,major_events,bussiness_sales,bussiness_profit,bussiness_cost,business_segments_num,business_risks,remuneration_policy,auditor,ID
Incitec Pivot Limited,"Level 8, 28 Freshwater Place, Southbank Victoria 3006, Australia",IPL,Mining||Agriculture||Manufacturing||Energy||Technology,Brian Kruger||Jeanne Johns||Bruce Brook||Xiaoling Liu||George Biltz||Gregory Robinson||Tonianne Dwyer,Jeanne Johns||Paul Victor||Greg Hayne||Braden Lusk||Stephenie De Nichilo||Sunil Salhotra||Rob Mill||Robert Rounsley||Margot Sharapova,6315300000,1027000000,1778600000,9378600000,763500000,763500000,0.52,0.17,HSBC Custody Nominees (Australia) Limited,34.57,No,M&A||Other,6381100000,1535500000,4972300000,3,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,Deloitte Touche Tohmatsu,11
Toshiba Corporation,"1-1, Shibaura 1-chome, Minato-ku, Tokyo, Japan",TSE,Manufacturing||Technology||Energy||Retail||Other,Taro SHIMADA||Goro YANASE||Akihiro WATANABE||Paul J. BROUGH||Ayako Hirota WEISSMAN||Jerome Thomas BLACK||George Raymond ZAGE III||Katsunori HASHIMOTO||Mikio MOCHIZUKI||Ayumi UZAWA||Eijiro IMAI||Nabeel BHANJI,,25003000000,1460000000,9070000000,29750000000,1880000000,9070000000,3.34,1.65,"The Master Trust Bank of Japan, Ltd.",11.6,No,M&A||Leadership Change||Restructuring,2236000000,106463000,2129327000,7,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,KPMG AZSA LLC,12
Swiss Water Decaffeinated Coffee Inc.,"7750 Beedie Way, Delta, British Columbia, V4G 0A5, Canada",SWP,Manufacturing||Agriculture||Other,Alan Wallace ||Frank Dennis,Taro Shimada||Akihiro Watanabe,176935000,2387000,164133000,219039000,37809000,54906000,,,Mill Road Capital LLC,6.6,No,Leadership Change,176940000,2387000,150800000,1,Market Risk||Operational Risk||Environmental Risk,Mixed,PricewaterhouseCoopers LLP,13
"Kiniksa Pharmaceuticals, Ltd.","Clarendon House, 2 Church Street, Hamilton HM11, Bermuda",KNSA,Healthcare,Sanj K. Patel|| Mark Ragosa|| Michael R. Megna|| Felix J. Baker|| Stephen R. Biggar|| G. Bradley Cole|| Richard S. Levy|| Thomas R. Malley|| Tracey L. McCain|| Kimberly J. Popovits|| Barry D. Quart,Sanj K. Patel|| Mark Ragosa,220180000,183363000,63523000,459672000,122715000,396149000,2.64,,,30,No,M&A,122500000,183400000,210400000,1,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,PricewaterhouseCoopers LLP,14
NuCana plc,"77/78 Cannon Street, London EC4N 6AF, United Kingdom",NASDAQ,Healthcare,Hugh Griffith||Andrew Kay||Martin Mellish||Adam George||Cyrille Leperlier||Elliott Levy||Bali Muralidhar,Hugh Griffith||Donald Munoz||Jeffrey Bloss||David Harrison,0,-43452817,,79065000,56873000,52248000,-0.828,,Entities affiliated with Sofinnova Investments,15.3,No,Leadership Change,,,59298000,1,Market Risk||Credit Risk||Operational Risk,Mixed,Ernst & Young LLP,15
Westwater Resources Inc.,"6950 S. Potomac Street, Suite 300, Centennial, CO 80112",NYSE,Mining||Energy,Frank Bakker||Terence J. Cryan||Tracy D. Pagliara||Karli S. Anderson||Deborah A. Peacock,Frank Bakker||Steven M. Cates||John W. Lawrence,,-11121000,,168408000,75196000,141968000,-0.25,0,Not Disclosed,,Yes,Leadership Change||Major Contract,,,12125000,1,Market Risk||Credit Risk||Operational Risk,Mixed,Moss Adams LLP,16
Brave Bison Group plc,"The Varnish Works, 3 Bravingtons Walk, London N1 9AJ",AIM,Media||Technology,Oliver Green||Theodore Green||Matthew Law||Gordon Brough,Oliver Green||Theodore Green||Philippa Norridge,42963764,2823562,951413,27962361,8800000,13602000,0.0026,0,Oliver Green & Theodore Green (Greenspan Investments Ltd),22.34,No,M&A||Leadership Change,42963764,1983800,19956000,2,Market Risk||Credit Risk||Operational Risk,Mixed,Moore Kingston Smith LLP,17
Playtech plc,"Ground Floor, St George  s Court, Upper Church Street, Douglas, Isle of Man IM1 1EE",LSE,Technology||Media,Brian Mattingley||Mor Weizer||Chris McGinnis||Ian Penrose||Anna Massion||John Krumins||Linda Marston Weston||Samy Reeb,Mor Weizer||Chris McGinnis,1850197860,101356000,632890000,3491312000,492579000,1964298000,0.337,0,Gopher Investments,4.97,Yes,,1850197860,122600000,1403000000,2,Market Risk||Credit Risk||Operational Risk,Mixed,BDO LLP,18
"RumbleOn, Inc.","901 W Walnut Hill Lane, Irving, TX 75038",NASDAQ,Retail||Technology,Steven Pully||Mark Tkach||Marshall Chesrown||Adam Alexander||Melvin Flanigan||Shin Lee||Michael Marchlik||Rebecca Polak||Kevin Westfall,Mark Tkach||Blake Lawson||Michael Francis,1793368000,-261513000,635247000,1027210000,48579000,206015000,16.48,0,William Coulter,16.01,Yes,,1793368000,"180,565,000",1403000000,3,Market Risk||Credit Risk||Operational Risk,Mixed,Grant Thornton LLP,19
"Syndax Pharmaceuticals, Inc.","35 Gatehouse Drive, Building D Floor 3, Waltham, MA 02451",NASDAQ,Healthcare||Technology,Michael A. Metzger||Dennis G. Podlesak||Martin H. Huber||Jennifer Jarrett||Keith A. Katkin||Pierre Legault||William Meury||Briggs W. Morrison,Michael A. Metzger||Keith Goldan||Briggs W. Morrison,,149338000,,497236000,74356000,467449000,2.46,0,Not Disclosed,0,Yes,,0,"151,757,000",151757000,1,Market Risk||Credit Risk||Operational Risk,Mixed,Deloitte & Touche LLP,20
MGM Resorts International,"3799 Las Vegas Boulevard South, Las Vegas, Nevada 89109",NYSE,Other||Real Estate||Media,,Bill Hornbuckle||Jonathan Halkyard||Corey Sanders,13128000000,1467000000,23690000000,45869000000,2418000000,10192000000,3.4,0,,,Yes,M&A||Restructuring,10676000000,1925000000,8751000000,3,Market Risk||Operational Risk||Legal/Compliance Risk,Mixed,Deloitte & Touche LLP,21
AA Limited,"Fanum House, Basing View, Basingstoke, Hampshire, RG21 4EA, England",LSE,Finance||Transportation,Rick Haythornthwaite||Jakob Pfaudler||James O'Gara||Gordon Holmes||Adarsh Sarma||Joseph Knoll||Simon Breakwell||Jakob Pfaudler||Kory Sorenson,Rick Haythornthwaite||Jakob Pfaudler||James O'Gara||Gordon Holmes||Adarsh Sarma||Joseph Knoll||Simon Breakwell||Jakob Pfaudler||Kory Sorenson,989000000,-27000000,3031000000,2045000000,112000000,-986000000,,,Basing Bidco Limited ,,Yes,M&A,,,,2,Market Risk||Operational Risk||Other,Stock Option||Performance-based,PricewaterhouseCoopers LLP,22
Benjamin Hornigold Ltd,v,ASX,Finance,Michael Glennon||Sulieman Ravell||Gary Miller,Michael Glennon||Sulieman Ravell||Gary Miller,1897453,-1239019,395062,7710615,1334877,7315553,0.0513,0,JP Morgan Nominees Australis PTY Limited,21.19,No,,-171254,-1239019,1067765,1,Credit Risk||Market Risk,Mixed,Pitcher Partners,23
"BCB Bancorp, Inc.","104-110 Avenue C, Bayonne, New Jersey 07002",NASDAQ,Finance,Robert Ballance||Judith Q. Bielan||James E. Collins||Vincent DiDomenico||Joseph Lyga||John Pulomena||James Rizzo||Spencer B. Robbins,Thomas Coughlin||Jawad Chaudhry,118615000,45579000,3254939000,3546193000,11520000,291254,2.64,0,,,No,M&A,118615000,45579000,55505000,1,Market Risk||Operational Risk||Credit Risk||Strategic Risk,Mixed,"Wolf & Company, P.C.",24
Kelly Partners Group Holdings Limited,"Level 8, 32 Walker Street, North Sydney, NSW 2060",ASX,Finance,Brett Kelly||Stephen Rouvray||Ryan Macnamee||Lawrence Cunningham||Paul Kuchta||Ada Poon,Brett Kelly||Stephen Rouvray||Ryan Macnamee||Lawrence Cunningham||Paul Kuchta||Ada Poon,67435877,13328745,72689792,106642496,2968829,33952704,0.1236,0.0585,Kelly Investments 1 PTY Ltd,50.05,No,M&A,67435877,13328745,51014567,2,Credit Risk||Market Risk,Mixed,William Buck Accountants & Advisors,25
Nordic American Tankers Limited,"Swan Building, 26 Victoria Street, Hamilton HM 12, Bermuda",NYSE,Transportation,Herbj rn Hansson||Jim Kelly||Jenny Chu||Alexander Hansson||Bj rn Giaever,Herbj rn Hansson||Bj rn Giaever,339340000,15101000,339901000,879883000,59583000,539982000,0.07,0,Hansson family,3.02,No,,339340000,41867000,297473000,1,Credit Risk||Market Risk||Legal/Compliance Risk||Environmental Risk||Operational Risk,Mixed||Stock Option,KPMG AS,26
Franklin Covey Co.,"2200 West Parkway Boulevard, Salt Lake City, Utah 84119-2331",NYSE,Other,Anne H. Chow||Craig Cuffie||Donald J. McNamara||Joel C. Peterson||Nancy Phillips||Derek C.M. van Bever||Robert A. Whitman||,Paul S. Walker||Stephen D. Young||Robert A. Whitman||M. Sean Covey||Jennifer C. Colosimo,262841000,18430000,176341000,259155000,60517000,82814000,1.3,0,Robert A. Whitman,7.6,No,M&A,262841000,23674000,239167,3,Market Risk||Strategic Risk||Other,Mixed||Performance-based||Stock Option,Deloitte & Touche LLP,27
Integra LifeSciences Holdings Corporation,,NASDAQ,Healthcare||Manufacturing||Technology,Jan De Witte||Jeffrey A. Mosebrook||Stuart M. Essig||Keith Bradley||Shaundra Clay||Barbara B. Hill||Renee Lo||Donald E. Morel||Raymond G. Murphy||Christian S. Schade,Jan De Witte||Jeffrey A. Mosebrook,1557666000,180550000,2085355000,3889758000,456661000,1804403000,2.18,0,,,No,M&A,1557666000,238920000,1318746000,2,Market Risk||Operational Risk||Credit Risk||Strategic Risk,Mixed||Stock Option,PricewaterhouseCoopers LLP,28
Mosaic Brands Limited,"Ground Floor, 61 Dunning Avenue Rosebery NSW 2018",MOZ,Retail,David Wilshire||Jacqueline Frank,Richard Facioni||Scott Evans,433755700,-8019200,40551000,239726000,29934100,-59350900,-0.07791,0,Alceon Group Pty Limited,32.24,Yes,M&A,399953400,-11268600,210064400,,Market Risk||Credit Risk,Mixed,BDO Audit Pty Ltd,29
Albany International Corp.,"216 Airport Drive, Rochester, New Hampshire 03867",NYSE,Manufacturing||Technology,,William Higgins||Stephen M. Nolan||Daniel A. Halftermeyer||Greg Harwell||Alice McCarvill||Joseph M. Gaug||Robert A. Hansen||Elisabeth Indriani,1034887000,95800000,439000000,1642255000,291776000,867543000,3.06,0.88,,,Yes,Restructuring||Litigation||Major Contract||Other,1034887000,237793000,853759000,2,Market Risk||Operational Risk||Strategic Risk||Legal/Compliance Risk,Mixed,KPMG LLP,30
EPI (Holdings) Limited,"Clarendon House, 2 Church Street, Hamilton HM11, Bermuda",689||HKSE,Energy||Finance,"Sue Ka Lok||Yiu Chun Kong||Chan Shui Yuen||Pun Chi Ping||Leung Pik Har, Christine||Kwong Tin Lap",Sue Ka Lok||Yiu Chun Kong||Chan Shui Yuen,5747505,-5961135,7316040,55271348,11555970,47991908,-0.001135,0,"Mr. Suen Cho Hung, Paul||Premier United Group Limited||Billion Expo International Limited",16.45,No,M&A,5747546,-2613138,1894971,4,Market Risk||Credit Risk||Operational Risk||Environmental Risk,Not Disclosed,Moore Stephens CPA Limited,31
Starvest plc,"Salisbury House, London Wall, London, EC2M 5PS",SVE,Finance,Callum N Baxter||Mark J Badros||Gemma Cryan,Mark J Badros||Gemma Cryan,66785,-7337195,0,8299629,507633,8247409,-0.1261,0,WB Nominees Limited,21.78,No,Other,,,305944,1,Market Risk||Credit Risk||Operational Risk||Strategic Risk,Fixed,PKF Littlejohn LLP,32
Emera Incorporated,"P.O. Box 910 Halifax, Nova Scotia  B3J 2W5",TSX,Energy||Utilities||Transportation,Jackie Sheppard||Scott Balfour||James Bertram||Henry Demone||Paula Gold-Williams||Kent Harvey||Lynn Loewen||Ian Robertson||Andrea Rosen||Richard Sergel||Karen Sheriff||Jochen Tilk,Scott Balfour||Mike Barrett||Greg Blunden||Archie Collins||Peter Gregg||Karen Hutt||Bruce Marchand||Dan Muldoon||Michael Roberts||Judy Steele||Helen Wesley||Ryan Shell,7588000000,945000000,16318000000,39742000000,310000000,11441000000,3.56,2.68,,,Yes,Litigation||Leadership Change||Major Contract,7170000,1080000000,5959000000,5,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Stock Option||Performance-based,Ernst & Young LLP,33
"Bionano Genomics, Inc.","9540 Towne Centre Drive, Suite 100, San Diego, CA 92121",BNGO,Technology||Healthcare,David L. Barker||Albert A. Luderer||Yvonne Linney||Aleksandar Rajkovic||Christopher Twomey||Kristiina Vuori||Vincent Wong,R. Erik Holmlin||Christopher Stewart,27802000,-132596000,0,307502000,5091000,249398000,0.46,0,,,Yes,M&A,270802000,,21857000,1,Market Risk||Operational Risk||Strategic Risk||Legal/Compliance Risk,Stock Option,"BDO USA, LLP",34
NextNav Inc.,"1775 Tysons Blvd., 5th Floor, McLean, VA 22102",NN||NNAWW,Technology,"7 (Ganesh Pattabiraman, Gary M. Parsons, Peter D. Aquino, Neil S. Subin, Bandel L. Carano, James B. Fleming, Alan B. Howe)",4 (Ganesh Pattabiraman|| Christian D. Gates|| Sammaad R. Shams|| Gary M. Parsons),3926000,40116000,,123788000,55446000,100017000,-0.4,0,,,Yes,M&A,3499000,,,1,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,Ernst & Young LLP,35
"ARCA biopharma, Inc.","10170 Church Ranch Way, Suite 100, Westminster, CO 80021",NASDAQ,Healthcare,Dr. Michael R. Bristow||Thomas A. Keuer||Christopher D. Ozeroff||C. Jeffrey Dekker||Dr. Linda Grais||Dr. Raymond L. Woosley||Mr. Robert E. Conway||Mr. Dan J. Mitchell||Dr. Anders Hove||Mr. Jacob Ma-Weaver||Mr. James Flynn,Michael R. Bristow||Thomas A. Keuer||Christopher D. Ozeroff||C. Jeffrey Dekker,,-9926000,,43085000,42445000,41673000,-0.69,0,"Funicular Funds, LP",27.8,No,Restructuring||Leadership Change,,,"Research and development: $4,749,000; General and administrative: $5,847,000",1,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other,Mixed,KPMG LLP,36
Arcadia Minerals Limited,"Suite 7, 63 Shepperton Road, Victoria Park WA 6100",ASX,Mining,Jurie Hendrik Wessels||Philip Le Roux||Johan Le Roux||Michael Davy|| Andrew La,Jurie Hendrik Wessels||Philip Le Roux,9071,-1692533,0,8995734,1844342,8927336,-0.0159,0,SPH Kundalila (Pty) Ltd,19.08,Yes,Other,9071,-1692533,0,2,Market Risk||Credit Risk||Operational Risk,Performance-based||Stock Option,RSM Australia Pty Ltd,37
Elixir Energy Limited,"3B, Level 3, 60 Hindmarsh Square, Adelaide 5000, South Australia",ASX,Energy,Richard Cottee||Neil Young||Stephen Kelemen||Anna Sloboda,Neil Young||Victoria Allinson,38926,-1981676,66506,44125647,22679219,42093275,-0.22,0,BNP PARIBAS NOMINEES PTY LTD <IB AU NOMS RETAILCLIENT DRP>,3.35,Yes,M&A,38926,1981676,2443658,3,Market Risk||Credit Risk||Operational Risk||Environmental Risk,Mixed,BDO Audit Pty Ltd,38
"Rapid7, Inc.","120 Causeway St #400, Boston, MA 02114",NASDAQ,Technology,Corey Thomas||Michael Berry||Marc Brown||Judy Bruner||Ben Holzman||Christina Kosmowski||Ben Nye||Tom Schodorf||Reeny Sondhi||Tas Giakouminakis,Corey Thomas||Tim Adams||Andrew Burton||Tas Giakouminakis||Christina Lucon,685083000,-124717000,815948000,1358991000,207287000,-120074000,-2.13,,,,Yes,M&A||Litigation,689371000,470734000,214349000,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Performance-based||Stock Option,KPMG LLP,39
"1-800-FLOWERS.COM, Inc.","Two Jericho Plaza, Suite 200, Jericho, NY 11753",NASDAQ,Retail,James F. McCann||Christopher G. McCann||Celia R. Brown||James A. Cannavino||Dina M. Colombo||Eugene F. DeMark||Leonard J. Elmore||Adam Hanft||Stephanie Redish Hofmann||Katherine Oliver||Larry Zarin,Christopher G. McCann||Thomas G. Hartnett||William E. Shea||Michael R. Manley||Arnold P. Leap||Steve Roberts||Jason John||Joseph Rowland||Faeth Bradley||Dinesh Popat||Andrew Deren||Abhay Patel,2207885000,29610000,162497000,1094891000,31465000,509409000,0.46,,,,Yes,M&A||Litigation,2211605000,91179000,2165784000,3,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other,Mixed,"BDO USA, LLP",40
"WEIS MARKETS, INC.","1000 S. Second Street, P. O. Box 471, Sunbury, Pennsylvania 17801-0471",NYSE,Retail,Jonathan H. Weis||Dennis G. Hatchell||Edward J. Lauth III||Gerrald B. Silverman,,4695943000,125196000,,1959150000,157997000,1301834000,4.65,1.3,Weis family,65,No,Other,4695943000,125196000,4538891000,1,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other,Not Disclosed,RSM US LLP,41
"NeoGenomics, Inc.","9490 NeoGenomics Way, Fort Myers, FL 33912",NASDAQ,Healthcare,Christopher M. Smith||Lynn A. Tetrault||Bruce K. Crowther||Dr. Alison L. Hannah||Stephen M. Kanovsky||Michael A. Kelly||David B. Perez||Rachel A. Stahler,Christopher M. Smith||Jeffrey S. Sherman||Cynthia J. Dieter,509728000,-144250000,535392000,1740034000,263180000,998023000,-1.16,0,,,Yes,M&A||Litigation||Leadership Change||Restructuring,"Clinical Services: $418,754,000; Pharma Services: $90,974,000",509728000,321832000,2,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,Deloitte & Touche LLP,42
Downer EDI Limited,"Downer EDI Limited, Level 2, Triniti III, Triniti Business Campus, 39 Delhi Road, North Ryde NSW 2113",ASX,Transportation || Utilities || Telecommunications || Energy || Healthcare,Mark Peter Chellew || Grant Anthony Fenn || Mark James Binns || Teresa Gayle Handicott || Nicole Maree Hollows || Adelle Maree Howse || Mark John Menhinnitt || Peter Lawrence Watson,Grant A. Fenn || Michael J. Ferguson || Peter J. Tompkins,7129223640,98611520,883416492,4840398360,479109260,1838585840,0.138,0.156,HSBC CUSTODY NOMINEES (AUSTRALIA) LIMITED,35.8,Yes,Restructuring||Other,6961973312,318930416,6732377148,3,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk||Other,Mixed,KPMG,43
Aptiv PLC,"5 Hanover Quay, Grand Canal Dock, Dublin, D02 VY79, Ireland",NYSE,Technology||Manufacturing,Kevin P. Clark||Paul M. Meister||Richard L. Clemmer||Nancy E. Cooper||Joseph L. (Jay) Hooley||Merit E. Janow||Sean O. Mahoney||Robert K. (Kelly) Ortberg||Colin J. Parris||Ana G. Pinczuk ,Kevin P. Clark||Joseph R. Massaro||Allan J. Brazier||Matthew Cole||Glen W. De Vos||Obed D. Louissaint||Benjamin Lyon||William T. Presley||Katherine H. Ramundo||Sophia Velastegui,17489000000,590000000,6491000000,21884000000,1531000000,8998000000,1.96,0,,,No,M&A||Restructuring||Litigation,17530000000,1583000000,16226000000,2,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,Ernst & Young LLP,44
"Celldex Therapeutics, Inc.","Perryville III Building, 53 Frontage Road, Suite 220, Hampton, New Jersey 08827",NASDAQ,Healthcare||Manufacturing,"Karen L. Shoos||Keith L. Brownlie||Cheryl L. Cohen||Herbert J. Conrad||Rita I. Jain||James J. Marino||Garry A. Neil||Harry H. Penner, Jr.",Anthony S. Marucci||Sam Martin,0,-112300000,0,,29429000,,,,,,No,M&A,,-112300000,,,Market Risk||Strategic Risk||Operational Risk,Mixed,PricewaterhouseCoopers LLP,45
"Bridgewater Bancshares, Inc.","4450 Excelsior Boulevard, Suite 100 St. Louis Park, Minnesota 55416",NASDAQ,Finance,Jerry Baack,Jerry Baack|| Mary Jayne Crocker,136030000,53392000,462905000,4345662000,87043000,394064000,1.72,0,,,No,Other,136030000,37713000,98317000,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Performance-based|| Stock Option|| Mixed,CliftonLarsonAllen LLP,46
DiaMedica Therapeutics Inc.,"301 Carlson Parkway, Suite 210, Minneapolis, Minnesota 55305",NASDAQ,Healthcare,Michael Giuffre||Tanya Lewis||James Parsons||Rick Pauls||Richard Pilnik||Charles Semba,Rick Pauls,0,-13676000,,,4728000,31827000,,0,TomEnterprise AB,,No,Other,0,0,0,1,Market Risk||Strategic Risk||Legal/Compliance Risk,Performance-based||Stock Option,,47
