nba_championships,name,olympic_gold_medals,id
0.0,Askia Rahman Jones,0.0,14
1.0,Harrison Bryce Jordan Barnes,1.0,140
0.0,"Edrice Femi ""Bam"" Adebayo",2.0,141
0.0,Carrick Felix,0.0,15
0.0,Mychel Thompson,0.0,16
0.0,Marvin Roberts,0.0,17
0.0,"Kenneth ""Apple"" Green",0.0,18
0.0,Gerald Madkins Jr.,0.0,19
0.0,Jay Vincent Jay Fletcher Vincent,0.0,2
0.0,Don Anielak,0.0,20
13.0,Philip Douglas Jackson,0.0,21
0.0,Anthony Avent,0.0,22
0.0,Drew Edward Gordon,0.0,23
0.0,Jarrett Jack,0.0,24
0.0,Rick Hughes,0.0,25
0.0,Lavoy Allen,0.0,26
0.0,Ed Dahler Edward Dahler Jr.,0.0,27
5.0,Magic Johnson,1.0,28
0.0,Stanley M. Noszka,0.0,29
0.0,Nikola Radi?evi?,0.0,3
2.0,Isiah Thomas,0.0,30
0.0,Dan Anderson,0.0,31
1.0,Jahlil Okafor,0.0,32
1.0,Trent Tucker,0.0,33
0.0,Dwayne Kenneth Schintzius,0.0,34
1.0,Miles Julian Simon,0.0,35
0.0,Guy William Rodgers,0.0,36
2.0,Vernon Maxwell,0.0,37
5.0,Tim Duncan,0.0,38
0.0,Walter Berry,0.0,39
0.0,Fran Curran Francis Hugh Curran Sr.,0.0,4
0.0,James Patrick Walsh,1.0,40
0.0,Tony Lorenzo Delk,0.0,41
0.0,Calvin Ramsey,0.0,42
0.0,Gene Dyker Eugene Walter Dyker,0.0,43
0.0,Derrick Chievous,0.0,44
0.0,Rik Smits,0.0,45
0.0,Anthony Edwards,1.0,46
0.0,"Harry Junior ""The Horse"" Gallatin",0.0,47
0.0,Jim Brasco,0.0,48
0.0,Darnell Hillman,0.0,49
0.0,Mark Price,0.0,5
0.0,Larry Robinson,0.0,50
0.0,Nicholas William Calathes,0.0,51
0.0,Rod Derline,0.0,52
0.0,Kurt Thomas,0.0,53
2.0,Kevin Wayne Durant,4.0,54
,Aaron Williams,,55
0.0,Nathaniel Thomas Huffman,0.0,56
0.0,Fred Boyd,0.0,57
1.0,William Bedford,0.0,58
1.0,Steve Smith,1.0,59
0.0,David Michineau,0.0,6
0.0,Shawn Christopher Respert,0.0,60
0.0,Rodney Strickland,0.0,61
0.0,Elmer H. Behnke,0.0,62
0.0,Lamar Brandon Stevens,0.0,63
0.0,Ronald Moore,0.0,64
0.0,Erazem Lorbek,0.0,65
0.0,"Marvin ""Mickey"" Rottner",0.0,66
0.0,Hamidou Diallo,0.0,67
0.0,"Dewayne ""D. J."" White, Jr.",0.0,68
9.0,Steve Kerr,1.0,69
0.0,Donta Hall,0.0,7
1.0,Gregory Clinton Foster,0.0,70
0.0,Bill Hewitt,0.0,71
0.0,Joseph Xavier Forte,0.0,72
0.0,Dino Rađa,0.0,73
0.0,Mark Jeffrey Radford,0.0,74
0.0,Kostas Papanikolaou,0.0,75
0.0,Garry Witts Garrett David Witts,0.0,76
0.0,Jabari Dominic Walker,0.0,77
0.0,Devontae Cacok,0.0,78
0.0,Brandon Goodwin,0.0,79
0.0,Erick Strickland,0.0,8
0.0,Dick Rosenthal,0.0,80
0.0,Jamal Crawford,0.0,81
0.0,Jordan Lee Crawford,0.0,82
0.0,Tom Copa,0.0,83
0.0,Kermit Washington,0.0,84
0.0,Donyell Marshall,0.0,85
0.0,Wayne Lavern Robinson,0.0,86
0.0,Greg Fillmore Gregory Paul Fillmore,0.0,87
0.0,John Harding Lucas II,0.0,88
0.0,Dick Surhoff,0.0,89
0.0,David Lattin,0.0,9
0.0,Garfield Smith,0.0,90
0.0,Leroy Patrick Chollet,0.0,91
0.0,Michael Carter-Williams,0.0,92
0.0,Dennis Schr?der,0.0,93
0.0,Jack Parr,0.0,94
0.0,"Monti Davis DaMon William ""Monti"" Davis",0.0,95
0.0,Eric Johnson Jones,0.0,96
0.0,Sidney Harold Tanenbaum,0.0,97
0.0,Trayce Jackson-Davis,0.0,98
0.0,Andre Jamal Drummond,0.0,99
