name,birth_date,nationality,age,is_dead,team,position,draft_pick,draft_year,college,nba_championships,mvp_awards,olympic_gold_medals,fiba_world_cup,"ID"
"Kenneth ""Apple"" Green  ",1959/9/19,American  ,66,0,New York Knicks,,11.0,1981.0,Pan American University  ,0.0,0,0.0,0.0,18
Gerald Madkins Jr.,1969/4/18,American,56,0,Grand Rapids Hoops,,,,"University of California, Los Angeles",0.0,0,0.0,0.0,19
Don Anielak  ,1930/11/1,American  ,65,1,New York Knicks,,26.0,1954.0,Southwest Missouri State University  ,0.0,0,0.0,0.0,20
Philip Douglas Jackson  ,1945/9/17,American  ,80,0,Los Angeles Lakers,Frontcourt,2.0,1967.0,University of North Dakota  ,13.0,0,0.0,0.0,21
Anthony Avent  ,1969/10/18,American  ,56,0,PAOK Thessaloniki,Frontcourt,15.0,1991.0,Seton Hall University  ,0.0,0,0.0,0.0,22
Drew Edward Gordon  ,1990/7/12,American  ,34,1,Philadelphia 76ers,Frontcourt,,,UCLA  ,0.0,0,0.0,0.0,23
Jarrett Jack  ,1983/10/28,American  ,42,0,Detroit Pistons,,22.0,2005.0,Georgia Tech  ,0.0,0,0.0,0.0,24
Rick Hughes  ,1973/8/22,American  ,52,0,HTV Basket,,,,Thomas More College  ,0.0,0,0.0,0.0,25
Lavoy Allen  ,1989/2/4,American  ,36,0,Philadelphia 76ers,,50.0,2011.0,Temple University  ,0.0,0,0.0,0.0,26
Ed Dahler Edward Dahler Jr.,1926/1/31,American,86,1,Philadelphia Warriors,,14.0,1950.0,Duquesne,0.0,0,0.0,0.0,27
Magic Johnson  ,1959/8/14,American  ,66,0,Los Angeles Lakers,Backcourt,1.0,1979.0,Michigan State  ,5.0,3,1.0,0.0,28
Stanley M. Noszka  ,1920/9/19, ,71,1,Boston Celtics,,,, ,0.0,0,0.0,0.0,29
Isiah Thomas  ,1961/4/30,American  ,64,0,Detroit Pistons,Backcourt,2.0,1981.0,Indiana Hoosiers  ,2.0,1,0.0,0.0,30
Dan Anderson,1951/1/1,American,74,0,Portland Trail Blazers,,2.0,1974.0,,0.0,0,0.0,0.0,31
Jahlil Okafor,1995/12/15,Nigerian-American,30,0,Capitanes de Arecibo,,3.0,2015.0,Duke,1.0,0,0.0,1.0,32
Trent Tucker  ,1959/12/20,American  ,66,0,Chicago Bulls,Backcourt,6.0,1982.0,University of Minnesota  ,1.0,0,0.0,0.0,33
Dwayne Kenneth Schintzius  ,1968/10/14,American  ,44,1,Brevard Blue Ducks,Frontcourt,24.0,1990.0,University of Florida  ,0.0,0,0.0,0.0,34
Miles Julian Simon  ,1975/11/21,American  ,50,0,Phoenix Suns,Backcourt,,,University of Arizona  ,1.0,0,0.0,0.0,35
Guy William Rodgers  ,1935/9/1,American  ,66,1,Milwaukee Bucks,,1.0,1958.0,Temple University  ,0.0,0,0.0,0.0,36
Vernon Maxwell,1965/9/12,American,60,0,Dallas Mavericks,Backcourt,2.0,1988.0,University of Florida,2.0,0,0.0,0.0,37
Tim Duncan,1976/4/25,American,49,0,San Antonio Spurs,Frontcourt,1.0,1997.0,Wake Forest University,5.0,2,0.0,0.0,38
Walter Berry ,1964/5/14,American  ,61,0,Panteras de Miranda,Frontcourt,14.0,1986.0,St. John's University  ,0.0,0,0.0,0.0,39
James Patrick Walsh  ,1930/8/29,American  ,46,1,Philadelphia Warriors,Frontcourt,,,Stanford University  ,0.0,0,1.0,0.0,40
Tony Lorenzo Delk  ,1974/1/28,American  ,51,0,New Mexico State,,16.0,1996.0,Kentucky  ,0.0,0,0.0,0.0,41
Calvin Ramsey  ,1937/7/13,American  ,82,1,New York Knicks,Frontcourt,13.0,1959.0,NYU  ,0.0,0,0.0,0.0,42
Gene Dyker Eugene Walter Dyker  ,1930/2/17,American  ,36,1,Milwaukee Hawks,Frontcourt,,1953.0,  ,0.0,0,0.0,0.0,43
Derrick Chievous  ,1967/7/3,American  ,58,0,Cleveland Cavaliers,Frontcourt,16.0,1988.0,University of Missouri  ,0.0,0,0.0,0.0,44
Rik Smits  ,1966/8/23,Dutch  ,59,0,Indiana Pacers,Frontcourt,2.0,1988.0,Marist College  ,0.0,0,0.0,1.0,45
Anthony Edwards,2001/8/5,American,24,0,Minnesota Timberwolves,Backcourt,1.0,2020.0,Georgia,0.0,0,1.0,0.0,46
"Harry Junior ""The Horse"" Gallatin  ",1927/4/26,American  ,88,1,Detroit Pistons,Frontcourt,20.0,1949.0,Northeast Missouri State Teachers' College  ,0.0,0,0.0,0.0,47
Jim Brasco  ,1931/2/3,American  ,83,1,Milwaukee Hawks,,1.0,1952.0,New York University  ,0.0,0,0.0,0.0,48
Darnell Hillman  ,1949/8/29,American,76,0,Golden State Warriors,Frontcourt,8.0,1971.0,San Jose State University  ,0.0,0,0.0,1.0,49
Larry Robinson,1951/6/2,Canadian,74,0,New York Knicks,Frontcourt,,,,0.0,0,0.0,0.0,50
Nicholas William Calathes ,1989/2/7,Greek-American  ,36,0,AS Monaco,Backcourt,35.0,2009.0,University of Florida  ,0.0,0,0.0,0.0,51
Rod Derline  ,1952/3/11, ,73,0,Seattle SuperSonics,Backcourt,169.0,1974.0,Seattle University  ,0.0,0,0.0,0.0,52
Kurt Thomas  ,1972/10/4,American  ,53,0,New York Knicks,Frontcourt,,1995.0,Texas Christian University  ,0.0,0,0.0,0.0,53
Kevin Wayne Durant,1988/9/29,American,37,0,Phoenix Suns,Frontcourt,2.0,2007.0,University of Texas at Austin,2.0,1,4.0,1.0,54
Aaron Williams  ,1971/10/2,American  ,54,0,Los Angeles Clippers,Frontcourt,,,Xavier University  ,,0,,,55
Nathaniel Thomas Huffman  ,1975/4/2,American  ,40,1,Toronto Raptors,,,,Central Michigan University  ,0.0,1,0.0,1.0,56
Fred Boyd  ,1950/6/13,American  ,73,1,New Orleans Jazz,,5.0,1972.0,Oregon State University  ,0.0,0,0.0,0.0,57
William Bedford  ,1963/12/14,American  ,62,0,Grand Rapids Hoops,Frontcourt,6.0,1986.0,Memphis State University  ,1.0,0,0.0,0.0,58
Steve Smith,1969/3/31,American,56,0,Charlotte Bobcats,Backcourt,5.0,1991.0,Michigan State,1.0,0,1.0,1.0,59
Shawn Christopher Respert  ,1972/2/6,American  ,53,0,,,8.0,1995.0,Michigan State  ,0.0,0,0.0,0.0,60
Rodney Strickland  ,1966/7/11,American  ,59,0,Houston Rockets,,19.0,1988.0,DePaul University  ,0.0,0,0.0,0.0,61
Elmer H. Behnke  ,1929/2/3,American  ,89,1,Milwaukee Hawks,,35.0,1951.0,Bradley University  ,0.0,0,0.0,0.0,62
Lamar Brandon Stevens  ,1997/7/9,American  ,28,0,Memphis Grizzlies,,,,Penn State Nittany Lions  ,0.0,0,0.0,0.0,63
Ronald Moore  ,1988/7/14,American  ,37,0,Debreceni EAC,Backcourt,,2010.0,Siena  ,0.0,0,0.0,0.0,64
Erazem Lorbek  ,1984/2/21,Slovenian  ,41,0,Petrol Olimpija,Frontcourt,2.0,2005.0,Michigan State University  ,0.0,0,0.0,0.0,65
"Marvin ""Mickey"" Rottner  ",1919/3/23,American  ,92,1,Chicago Stags,Backcourt,,,Loyola University in Chicago  ,0.0,0,0.0,0.0,66
Hamidou Diallo  ,1998/7/31,American  ,27,0,Capital City Go-Go,,45.0,2018.0,University of Kentucky  ,0.0,0,0.0,0.0,67
"Dewayne ""D. J."" White, Jr.",1986/8/31,American,39,0,Piratas de Quebradillas,Frontcourt,29.0,2008.0,Indiana Hoosiers,0.0,0,0.0,0.0,68
Steve Kerr  ,1965/9/27,American  ,60,0,Golden State Warriors,Frontcourt,50.0,1988.0,University of Arizona  ,9.0,0,1.0,1.0,69
Gregory Clinton Foster  ,1968/10/3,American  ,57,0,Indiana Pacers,Frontcourt,35.0,1990.0,UTEP  ,1.0,0,0.0,0.0,70
Bill Hewitt  ,1944/8/8,American  ,81,0,Los Angeles Lakers,Frontcourt,,,University of Southern California  ,0.0,0,0.0,0.0,71
Joseph Xavier Forte  ,1981/3/23,American  ,44,0,Maccabi Tel Aviv,Backcourt,21.0,2001.0,University of North Carolina at Chapel Hill  ,0.0,0,0.0,0.0,72
Dino Rađa,1967/4/24,Croatian  ,58,0,Košarkaški klub Split,Frontcourt,40.0,1989.0, ,0.0,0,0.0,1.0,73
Mark Jeffrey Radford  ,1959/7/5,American  ,66,0,Seattle SuperSonics,,53.0,1981.0,Oregon State University  ,0.0,0,0.0,0.0,74
Kostas Papanikolaou,1990/7/31,Greek,35,0,Olympiacos,Frontcourt,48.0,2012.0,,0.0,0,0.0,0.0,75
Garry Witts Garrett David Witts  ,1959/7/3,American  ,66,0,Washington Bullets,,,, ,0.0,0,0.0,0.0,76
Jabari Dominic Walker  ,2002/7/30,American  ,23,0,Portland Trail Blazers,,57.0,2022.0,Colorado  ,0.0,0,0.0,0.0,77
Devontae Cacok  ,1996/10/8,American  ,29,0,Virtus Bologna,,,,UNC Wilmington  ,0.0,0,0.0,0.0,78
Brandon Goodwin  ,1995/10/2,American  ,30,0,Gigantes de Carolina,Backcourt,,,"UCF Knights, Florida Gulf Coast Eagles  ",0.0,0,0.0,0.0,79
Dick Rosenthal  ,1933/1/20,American  ,91,1,Fort Wayne Pistons,Frontcourt,1.0,1954.0,Notre Dame  ,0.0,0,0.0,0.0,80
Jamal Crawford  ,1980/3/20,American  ,45,0,Brooklyn Nets,,8.0,2000.0,University of Michigan  ,0.0,0,0.0,0.0,81
Jordan Lee Crawford  ,1988/10/23,American  ,37,0,Sichuan Blue Whales,,27.0,2010.0,"Indiana University, Xavier University  ",0.0,0,0.0,0.0,82
Tom Copa  ,1964/10/30,American  ,61,0,Libertas Livorno,,44.0,1987.0,Marquette  ,0.0,0,0.0,0.0,83
Kermit Washington  ,1951/9/17,American  ,74,0,Golden State Warriors,Frontcourt,5.0,1973.0,American University  ,0.0,0,0.0,0.0,84
Donyell Marshall  ,1973/5/18,American  ,52,0,Greensboro Swarm,,4.0,1994.0,University of Connecticut  ,0.0,0,0.0,0.0,85
Wayne Lavern Robinson,1930/1/14,American,85,1,Philadelphia Eagles,Frontcourt,8.0,1952.0,University of Minnesota,0.0,0,0.0,0.0,86
Greg Fillmore Gregory Paul Fillmore  ,1947/3/7,American  ,78,0,New York Knicks,Frontcourt,8.0,1970.0,Cheyney University of Pennsylvania  ,0.0,0,0.0,0.0,87
John Harding Lucas II  ,1953/10/31,American  ,72,0,Houston Rockets,Frontcourt,1.0,1976.0,University of Maryland  ,0.0,0,0.0,0.0,88
Dick Surhoff  ,1929/11/16,American,58,1,Milwaukee Hawks,,,1952.0,"Long Island, John Marshall College  ",0.0,0,0.0,0.0,89
Garfield Smith  ,1945/11/18,American  ,80,0,Boston Celtics,,10.0,1968.0, ,0.0,0,0.0,0.0,90
Leroy Patrick Chollet  ,1925/3/5,American  ,73,1,Syracuse Nationals,Backcourt,1.0,1949.0,Loyola University New Orleans  ,0.0,0,0.0,0.0,91
Michael Carter-Williams  ,1991/10/10,American  ,34,0,Mexico City Capitanes,,11.0,2013.0,Syracuse Orange  ,0.0,0,0.0,0.0,92
Dennis Schr?der,1993/9/15,German,32,0,Brooklyn Nets,,17.0,2013.0,,0.0,0,0.0,1.0,93
Jack Parr  ,1936/3/13,American  ,79,1,Cincinnati Royals,,10.0,1958.0,Kansas State University  ,0.0,0,0.0,0.0,94
"Monti Davis DaMon William ""Monti"" Davis  ",1958/7/26,American  ,55,1,Dallas Mavericks,Frontcourt,21.0,1980.0,Tennessee State University  ,0.0,0,0.0,0.0,95
Eric Johnson Jones  ,1966/2/7,American-Spanish  ,59,0,Utah Jazz,,,, ,0.0,0,0.0,0.0,96
Sidney Harold Tanenbaum,1925/10/8,American,61,1,Baltimore Bullets,Backcourt,,,New York University,0.0,0,0.0,0.0,97
Trayce Jackson-Davis  ,2000/2/22,American  ,25,0,Golden State Warriors,,57.0,2023.0,Indiana Hoosiers  ,0.0,0,0.0,0.0,98
Andre Jamal Drummond,1993/8/10,American,32,0,Philadelphia 76ers,Frontcourt,9.0,2012.0,University of Connecticut,0.0,0,0.0,1.0,99
"Chavano Rainer ""Buddy"" Hield",1992/12/17,Bahamian,33,0,Golden State Warriors,,6.0,2016.0,Oklahoma Sooners,0.0,0,0.0,0.0,100
D'Angelo Russell,1996/2/23,American,29,0,Los Angeles Lakers,Backcourt,2.0,2015.0,Ohio State,0.0,0,0.0,0.0,101
Joel Hans Embiid,1994/3/16,Cameroonian-American,31,0,Philadelphia 76ers,,3.0,2014.0,University of Kansas,0.0,1,1.0,0.0,102
Paul Clifton Anthony George,1990/5/2,American,35,0,Philadelphia 76ers,,10.0,2010.0,Fresno State,0.0,0,1.0,0.0,103
Kyrie Andrew Irving,1992/3/23,American,33,0,Dallas Mavericks,,1.0,2011.0,Duke University,1.0,0,1.0,1.0,104
Jayson Christopher Tatum,1998/3/3,American,27,0,Boston Celtics,,3.0,2017.0,Duke University,1.0,1,2.0,0.0,105
Caleb Martin,1995/9/28,American,30,0,Philadelphia 76ers,Frontcourt,,2019.0,"NC State Wolfpack, Nevada Wolf Pack",0.0,0,0.0,0.0,106
Andrew Christian Wiggins,1995/2/23,Canadian,30,0,Golden State Warriors,,1.0,2014.0,Kansas Jayhawks,1.0,0,0.0,0.0,107
Max Berning Fiedler,2001/2/26,American,24,0,Philadelphia 76ers,,,,Rice Owls,0.0,0,0.0,0.0,108
"Ogugua ""OG"" Anunoby Jr.",1997/7/17,British,28,0,New York Knicks,,23.0,2017.0,Indiana University,1.0,0,0.0,0.0,109
Jaylen Marselles Brown,1996/10/24,American,29,0,Boston Celtics,Backcourt,3.0,2016.0,"University of California, Berkeley",1.0,1,0.0,0.0,110
Victor Wembanyama,2004/1/4,French,21,0,San Antonio Spurs,Frontcourt,1.0,2023.0,,0.0,0,0.0,0.0,111
Jrue Randall Holiday  ,1990/6/12,American  ,35,0,Boston Celtics,,17.0,2009.0,UCLA  ,2.0,1,2.0,0.0,112
Austin Tyler Reaves,1998/5/29,American,27,0,Los Angeles Lakers,,,2021.0,"Wichita State Shockers, Oklahoma Sooners",0.0,0,0.0,1.0,113
Kevin Wesley Love,1988/9/7,American,37,0,Miami Heat,,5.0,2008.0,UCLA,1.0,0,1.0,1.0,114
Giannis Sina Ugo Antetokounmpo,1994/12/6,Greek and Nigerian,31,0,Milwaukee Bucks,Frontcourt,15.0,2013.0,,1.0,2,0.0,0.0,115
Wardell Stephen Curry II  ,1988/3/14,American  ,37,0,Golden State Warriors,Backcourt,7.0,2009.0,Davidson  ,4.0,2,1.0,2.0,116
Alfred Joel Horford Reynoso,1986/6/3,Dominican,39,0,Boston Celtics,Frontcourt,3.0,2007.0,University of Florida,1.0,0,0.0,0.0,117
Tyler Christopher Herro,2000/1/20,American,25,0,Miami Heat,Backcourt,13.0,2019.0,University of Kentucky,0.0,0,0.0,0.0,118
Duncan McBryde Robinson,1994/4/22,American,31,0,Miami Heat,,,,"Williams College, University of Michigan",0.0,0,0.0,0.0,119
Kyle Forman Anderson,1993/9/20,American-Chinese,32,0,Golden State Warriors,,30.0,2014.0,UCLA,0.0,0,0.0,0.0,120
Cade Parker Cunningham,2001/9/25,American,24,0,Detroit Pistons,,1.0,2021.0,Oklahoma State,0.0,0,0.0,1.0,121
LeBron Raymone James Sr.,1984/12/30,American,41,0,Los Angeles Lakers,,1.0,2003.0,,4.0,4,3.0,0.0,122
Jimmy Butler III  ,1989/9/14,American  ,36,0,Miami Heat,,30.0,2011.0,Marquette University  ,0.0,0,1.0,0.0,123
Kevon Grant Looney,1996/2/6,American,29,0,Golden State Warriors,Frontcourt,30.0,2015.0,UCLA,3.0,0,0.0,0.0,124
Zachary Thomas LaVine,1995/3/10,American,30,0,Chicago Bulls,,13.0,2014.0,UCLA,0.0,0,1.0,0.0,125
Jaden Edward Dhananjay Ivey,2002/2/13,American,23,0,Detroit Pistons,,5.0,2022.0,Purdue,0.0,0,0.0,1.0,126
Kyle Terrell Lowry,1986/3/25,American,39,0,Philadelphia 76ers,Backcourt,24.0,2006.0,Villanova Wildcats,1.0,0,1.0,0.0,127
Michael Jeffrey Jordan,1963/2/17,American,62,0,Washington Wizards,Backcourt,3.0,1984.0,University of North Carolina,6.0,5,2.0,0.0,128
Devin Armani Booker,1996/10/30,American,29,0,Phoenix Suns,Backcourt,13.0,2015.0,Kentucky Wildcats,0.0,0,2.0,0.0,129
Draymond Jamal Green,1990/3/4,American,35,0,Golden State Warriors,Frontcourt,35.0,2012.0,Michigan State University,4.0,0,2.0,0.0,130
Zach Collins,1997/11/19,American,28,0,San Antonio Spurs,,10.0,2017.0,Gonzaga Bulldogs,0.0,0,0.0,0.0,131
Jonathan Malangu Kuminga,2002/10/6,Congolese,23,0,Golden State Warriors,Frontcourt,7.0,2021.0,,1.0,0,0.0,0.0,132
Lonzo Anderson Ball,1997/10/27,American,28,0,Chicago Bulls,Backcourt,2.0,2017.0,UCLA,0.0,0,0.0,0.0,133
Jaime Jaquez Jr.  ,2001/2/18,Mexican-American  ,24,0,Miami Heat,,18.0,2023.0,UCLA  ,0.0,0,0.0,0.0,134
Ausar XLNC Thompson,2003/1/30,American,22,0,Detroit Pistons,,5.0,2023.0,,0.0,0,0.0,0.0,135
Jalen Marquis Brunson,1996/8/31,American,29,0,New York Knicks,,33.0,2018.0,Villanova University,0.0,0,0.0,0.0,136
Shaquille Rashaun O'Neal,1972/3/6,American,53,0,Boston Celtics,Frontcourt,1.0,1992.0,Louisiana State University (LSU),4.0,1,1.0,1.0,137
Kobe Bean Bryant,1978/8/23,American,42,1,Los Angeles Lakers,Backcourt,13.0,1996.0,,5.0,1,2.0,0.0,138
Christopher Emmanuel Paul,1985/5/6,American,40,0,San Antonio Spurs,Backcourt,4.0,2005.0,Wake Forest University,0.0,1,2.0,0.0,139
Harrison Bryce Jordan Barnes,1992/5/30,American,33,0,San Antonio Spurs,,7.0,2012.0,North Carolina Tar Heels,1.0,0,1.0,0.0,140
"Edrice Femi ""Bam"" Adebayo",1997/7/18,American,28,0,Miami Heat,,14.0,2017.0,University of Kentucky,0.0,0,2.0,0.0,141
