team,name,mvp_awards,birth_date,id
,Shawn Christopher Respert,0,1972/2/6,60
Houston Rockets,Rodney Strickland,0,1966/7/11,61
Milwaukee Hawks,Elmer H. Behnke,0,1929/2/3,62
Memphis Grizzlies,Lamar Brandon Stevens,0,1997/7/9,63
Debreceni EAC,Ronald Moore,0,1988/7/14,64
Petrol Olimpija,Erazem Lorbek,0,1984/2/21,65
Chicago Stags,"Marvin ""Mickey"" Rottner",0,1919/3/23,66
Capital City Go-Go,Hamidou Diallo,0,1998/7/31,67
Piratas de Quebradillas,"Dewayne ""D. J."" White, Jr.",0,1986/8/31,68
Golden State Warriors,Steve Kerr,0,1965/9/27,69
Indiana Pacers,Gregory Clinton Foster,0,1968/10/3,70
Los Angeles Lakers,Bill Hewitt,0,1944/8/8,71
Maccabi Tel Aviv,Joseph Xavier Forte,0,1981/3/23,72
Košarkaški klub Split,Dino Rađa,0,1967/4/24,73
Seattle SuperSonics,Mark Jeffrey Radford,0,1959/7/5,74
Olympiacos,Kostas Papanikolaou,0,1990/7/31,75
Washington Bullets,Garry Witts Garrett David Witts,0,1959/7/3,76
Portland Trail Blazers,Jabari Dominic Walker,0,2002/7/30,77
Virtus Bologna,Devontae Cacok,0,1996/10/8,78
Gigantes de Carolina,Brandon Goodwin,0,1995/10/2,79
Fort Wayne Pistons,Dick Rosenthal,0,1933/1/20,80
Brooklyn Nets,Jamal Crawford,0,1980/3/20,81
Sichuan Blue Whales,Jordan Lee Crawford,0,1988/10/23,82
Libertas Livorno,Tom Copa,0,1964/10/30,83
Golden State Warriors,Kermit Washington,0,1951/9/17,84
Greensboro Swarm,Donyell Marshall,0,1973/5/18,85
Philadelphia Eagles,Wayne Lavern Robinson,0,1930/1/14,86
New York Knicks,Greg Fillmore Gregory Paul Fillmore,0,1947/3/7,87
Houston Rockets,John Harding Lucas II,0,1953/10/31,88
Milwaukee Hawks,Dick Surhoff,0,1929/11/16,89
Boston Celtics,Garfield Smith,0,1945/11/18,90
Syracuse Nationals,Leroy Patrick Chollet,0,1925/3/5,91
Mexico City Capitanes,Michael Carter-Williams,0,1991/10/10,92
Brooklyn Nets,Dennis Schr?der,0,1993/9/15,93
Cincinnati Royals,Jack Parr,0,1936/3/13,94
Dallas Mavericks,"Monti Davis DaMon William ""Monti"" Davis",0,1958/7/26,95
Utah Jazz,Eric Johnson Jones,0,1966/2/7,96
Baltimore Bullets,Sidney Harold Tanenbaum,0,1925/10/8,97
Golden State Warriors,Trayce Jackson-Davis,0,2000/2/22,98
Philadelphia 76ers,Andre Jamal Drummond,0,1993/8/10,99
Golden State Warriors,"Chavano Rainer ""Buddy"" Hield",0,1992/12/17,100
Los Angeles Lakers,D'Angelo Russell,0,1996/2/23,101
Philadelphia 76ers,Joel Hans Embiid,1,1994/3/16,102
Philadelphia 76ers,Paul Clifton Anthony George,0,1990/5/2,103
Dallas Mavericks,Kyrie Andrew Irving,0,1992/3/23,104
Boston Celtics,Jayson Christopher Tatum,1,1998/3/3,105
Philadelphia 76ers,Caleb Martin,0,1995/9/28,106
Golden State Warriors,Andrew Christian Wiggins,0,1995/2/23,107
Philadelphia 76ers,Max Berning Fiedler,0,2001/2/26,108
New York Knicks,"Ogugua ""OG"" Anunoby Jr.",0,1997/7/17,109
Boston Celtics,Jaylen Marselles Brown,1,1996/10/24,110
San Antonio Spurs,Victor Wembanyama,0,2004/1/4,111
Boston Celtics,Jrue Randall Holiday,1,1990/6/12,112
Los Angeles Lakers,Austin Tyler Reaves,0,1998/5/29,113
Miami Heat,Kevin Wesley Love,0,1988/9/7,114
Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo,2,1994/12/6,115
Golden State Warriors,Wardell Stephen Curry II,2,1988/3/14,116
Boston Celtics,Alfred Joel Horford Reynoso,0,1986/6/3,117
Miami Heat,Tyler Christopher Herro,0,2000/1/20,118
Miami Heat,Duncan McBryde Robinson,0,1994/4/22,119
Golden State Warriors,Kyle Forman Anderson,0,1993/9/20,120
Detroit Pistons,Cade Parker Cunningham,0,2001/9/25,121
Los Angeles Lakers,LeBron Raymone James Sr.,4,1984/12/30,122
Miami Heat,Jimmy Butler III,0,1989/9/14,123
Golden State Warriors,Kevon Grant Looney,0,1996/2/6,124
Chicago Bulls,Zachary Thomas LaVine,0,1995/3/10,125
Detroit Pistons,Jaden Edward Dhananjay Ivey,0,2002/2/13,126
Philadelphia 76ers,Kyle Terrell Lowry,0,1986/3/25,127
Washington Wizards,Michael Jeffrey Jordan,5,1963/2/17,128
Phoenix Suns,Devin Armani Booker,0,1996/10/30,129
Golden State Warriors,Draymond Jamal Green,0,1990/3/4,130
San Antonio Spurs,Zach Collins,0,1997/11/19,131
Golden State Warriors,Jonathan Malangu Kuminga,0,2002/10/6,132
Chicago Bulls,Lonzo Anderson Ball,0,1997/10/27,133
Miami Heat,Jaime Jaquez Jr.,0,2001/2/18,134
Detroit Pistons,Ausar XLNC Thompson,0,2003/1/30,135
New York Knicks,Jalen Marquis Brunson,0,1996/8/31,136
Boston Celtics,Shaquille Rashaun O'Neal,1,1972/3/6,137
Los Angeles Lakers,Kobe Bean Bryant,1,1978/8/23,138
San Antonio Spurs,Christopher Emmanuel Paul,1,1985/5/6,139
San Antonio Spurs,Harrison Bryce Jordan Barnes,0,1992/5/30,140
Miami Heat,"Edrice Femi ""Bam"" Adebayo",0,1997/7/18,141
